iter	Passed	Remaining
0	47	46992
1	47	23689
2	47	15913
3	48	12024
4	48	9693
5	49	8137
6	49	7026
7	49	6193
8	50	5547
9	50	5028
10	51	4604
11	51	4250
12	52	3950
13	52	3693
14	52	3470
15	53	3275
16	53	3104
17	54	2951
18	54	2814
19	54	2690
20	55	2578
21	55	2477
22	56	2384
23	56	2299
24	56	2221
25	57	2149
26	57	2081
27	58	2019
28	58	1961
29	58	1906
30	59	1856
31	59	1808
32	60	1764
33	60	1722
34	61	1683
35	61	1645
36	61	1609
37	62	1576
38	62	1544
39	63	1514
40	63	1485
41	63	1457
42	64	1431
43	64	1406
44	65	1383
45	65	1360
46	66	1350
47	66	1328
48	67	1315
49	68	1295
50	68	1276
51	69	1258
52	69	1240
53	69	1223
54	70	1207
55	70	1190
56	71	1175
57	71	1160
58	71	1146
59	72	1132
60	72	1119
61	73	1106
62	73	1093
63	73	1081
64	74	1069
65	74	1058
66	75	1046
67	75	1036
68	75	1025
69	76	1014
70	76	1004
71	77	994
72	77	985
73	77	975
74	78	966
75	78	958
76	79	949
77	79	941
78	80	932
79	81	933
80	81	926
81	82	919
82	82	909
83	82	903
84	83	896
85	83	889
86	84	881
87	84	875
88	84	868
89	85	861
90	85	855
91	86	849
92	86	843
93	86	837
94	87	831
95	87	825
96	88	819
97	88	814
98	88	808
99	89	803
100	89	798
101	90	793
102	90	788
103	90	782
104	91	778
105	91	773
106	92	769
107	92	765
108	93	760
109	93	756
110	93	751
111	94	747
112	94	743
113	95	739
114	95	734
115	95	730
116	96	725
117	96	722
118	97	718
119	97	714
120	97	710
121	98	706
122	98	702
123	98	698
124	99	695
125	99	691
126	100	687
127	100	684
128	100	681
129	101	678
130	101	675
131	102	671
132	102	668
133	102	665
134	103	662
135	103	659
136	104	656
137	104	653
138	104	650
139	105	647
140	105	644
141	106	640
142	106	638
143	107	636
144	107	634
145	108	631
146	108	629
147	108	627
148	109	624
149	109	621
150	110	619
151	110	616
152	110	614
153	111	611
154	111	609
155	112	606
156	112	604
157	112	601
158	113	599
159	113	597
160	113	594
161	114	591
162	114	589
163	115	587
164	115	585
165	115	582
166	116	580
167	116	578
168	117	576
169	117	574
170	117	571
171	118	570
172	118	568
173	119	566
174	119	563
175	120	562
176	120	560
177	120	558
178	121	556
179	121	554
180	122	552
181	122	550
182	122	548
183	123	546
184	123	545
185	124	543
186	124	541
187	124	539
188	125	537
189	125	535
190	126	534
191	126	532
192	126	530
193	127	528
194	127	527
195	128	525
196	128	523
197	128	522
198	129	520
199	129	519
200	130	517
201	130	515
202	130	514
203	131	512
204	131	510
205	132	509
206	132	507
207	132	506
208	133	504
209	133	503
210	134	501
211	134	500
212	135	498
213	135	497
214	135	495
215	136	494
216	136	493
217	137	491
218	137	490
219	137	488
220	138	487
221	138	485
222	139	484
223	139	483
224	139	481
225	140	480
226	140	478
227	141	477
228	141	476
229	141	474
230	142	474
231	143	473
232	143	472
233	144	471
234	144	470
235	145	470
236	145	468
237	145	467
238	146	466
239	146	464
240	147	463
241	147	462
242	147	460
243	148	459
244	148	458
245	149	457
246	149	456
247	149	454
248	150	453
249	150	452
250	151	451
251	151	449
252	151	448
253	152	447
254	152	446
255	153	445
256	153	444
257	153	442
258	154	441
259	154	440
260	155	439
261	155	438
262	156	437
263	156	436
264	156	434
265	157	433
266	157	432
267	158	431
268	158	430
269	158	429
270	159	428
271	159	427
272	160	426
273	160	425
274	160	423
275	161	422
276	161	421
277	162	420
278	162	419
279	162	418
280	163	417
281	163	416
282	164	415
283	164	414
284	164	413
285	165	412
286	165	411
287	166	410
288	166	409
289	166	408
290	167	407
291	167	406
292	168	405
293	168	404
294	168	403
295	169	402
296	169	401
297	170	400
298	170	399
299	170	398
300	171	397
301	171	396
302	172	395
303	172	394
304	172	393
305	173	393
306	173	392
307	174	391
308	174	390
309	174	389
310	175	388
311	175	387
312	176	386
313	176	385
314	176	384
315	177	383
316	177	382
317	178	381
318	178	381
319	178	380
320	179	379
321	179	378
322	180	377
323	180	376
324	180	375
325	181	374
326	181	373
327	182	373
328	182	372
329	182	371
330	183	370
331	183	369
332	184	368
333	184	367
334	184	367
335	185	366
336	185	365
337	186	364
338	186	363
339	186	362
340	187	361
341	187	361
342	188	360
343	188	359
344	188	358
345	189	357
346	189	356
347	190	356
348	190	355
349	190	354
350	191	353
351	191	352
352	192	351
353	192	351
354	192	350
355	193	349
356	193	348
357	193	347
358	196	351
359	197	350
360	197	349
361	197	348
362	198	347
363	198	346
364	198	346
365	199	345
366	199	344
367	200	343
368	200	342
369	200	341
370	201	340
371	201	340
372	201	339
373	202	338
374	202	337
375	202	336
376	203	335
377	203	334
378	203	334
379	204	333
380	204	332
381	204	331
382	211	340
383	211	339
384	212	339
385	212	338
386	213	337
387	213	336
388	213	335
389	214	335
390	214	334
391	215	333
392	215	332
393	215	332
394	216	331
395	216	330
396	217	329
397	217	328
398	217	328
399	218	327
400	218	326
401	219	325
402	219	325
403	219	324
404	220	323
405	220	322
406	221	322
407	221	321
408	221	320
409	222	320
410	222	319
411	223	318
412	223	317
413	224	317
414	224	316
415	224	315
416	225	315
417	225	314
418	226	313
419	226	312
420	227	312
421	227	311
422	227	310
423	228	310
424	228	309
425	229	309
426	230	309
427	230	308
428	231	307
429	231	306
430	231	306
431	232	305
432	232	304
433	233	303
434	233	303
435	233	302
436	234	301
437	234	301
438	235	300
439	235	299
440	235	299
441	236	298
442	236	297
443	237	297
444	237	296
445	238	295
446	238	295
447	238	294
448	239	293
449	239	293
450	240	292
451	240	291
452	240	290
453	241	290
454	241	289
455	242	288
456	242	288
457	243	287
458	243	286
459	243	286
460	244	285
461	244	284
462	245	284
463	245	283
464	245	282
465	246	282
466	246	281
467	247	280
468	247	280
469	247	279
470	248	278
471	248	278
472	249	277
473	249	277
474	250	276
475	250	275
476	250	275
477	251	274
478	251	273
479	252	273
480	252	272
481	252	271
482	253	271
483	253	270
484	254	269
485	254	269
486	255	268
487	255	268
488	255	267
489	256	266
490	256	266
491	257	265
492	257	264
493	257	264
494	258	263
495	258	262
496	259	262
497	259	261
498	260	261
499	260	260
500	260	259
501	261	259
502	261	258
503	262	257
504	262	257
505	262	256
506	263	256
507	263	255
508	264	254
509	264	254
510	265	253
511	265	252
512	265	252
513	266	251
514	266	251
515	267	250
516	267	249
517	267	249
518	268	248
519	268	248
520	269	247
521	269	246
522	269	246
523	270	245
524	270	245
525	271	244
526	271	243
527	272	243
528	272	242
529	272	241
530	273	241
531	273	240
532	274	240
533	274	239
534	274	238
535	275	238
536	275	237
537	276	237
538	276	236
539	276	235
540	277	235
541	277	234
542	278	234
543	278	233
544	279	232
545	279	232
546	279	231
547	280	231
548	280	230
549	281	230
550	281	229
551	281	228
552	282	228
553	282	227
554	283	227
555	283	226
556	284	225
557	284	225
558	284	224
559	285	224
560	285	223
561	286	223
562	286	222
563	286	221
564	287	221
565	287	220
566	288	220
567	288	219
568	288	218
569	289	218
570	289	217
571	292	218
572	292	217
573	292	217
574	293	216
575	293	216
576	293	215
577	295	215
578	295	215
579	296	214
580	296	214
581	297	213
582	297	212
583	298	212
584	298	211
585	298	211
586	299	210
587	299	209
588	300	209
589	300	208
590	300	208
591	301	207
592	301	207
593	302	206
594	303	206
595	303	205
596	303	205
597	304	204
598	304	204
599	305	203
600	305	202
601	306	202
602	306	201
603	306	201
604	307	200
605	307	199
606	307	199
607	308	198
608	308	198
609	309	197
610	309	197
611	309	196
612	310	195
613	310	195
614	311	194
615	311	194
616	311	193
